1373.0;22.4;54.0
1371.5;22.4;54.0
1375.33;22.4;54.0
1374.5;22.4;54.0
1374.2;22.4;54.0
1374.33;22.4;54.0
1373.0;22.4;54.0
1373.88;22.4;54.0
1374.22;22.4;54.0
1374.3;22.4;54.0
1374.45;22.41;54.0
1374.58;22.42;54.0
1374.31;22.42;53.99
1373.21;22.42;53.99
1372.87;22.42;53.98
1372.81;22.42;53.97
1373.35;22.42;53.98
1373.11;22.43;53.98
1372.58;22.43;53.97
1372.1;22.42;53.97
1372.19;22.42;53.97
1371.86;22.43;53.96
1371.74;22.43;53.96
1371.12;22.43;53.96
1371.08;22.43;53.96
1370.96;22.43;53.95
1370.7;22.43;53.95
1370.46;22.42;53.95
1370.21;22.42;53.95
1370.2;22.43;53.95
1369.81;22.43;53.95
1369.5;22.43;53.94
1369.73;22.43;53.94
1369.65;22.43;53.94
1369.66;22.43;53.93
1369.83;22.42;53.93
1370.05;22.42;53.93
1369.95;22.42;53.93
1369.87;22.42;53.93
1370.03;22.42;53.93
1369.93;22.42;53.93
1369.83;22.42;53.94
1369.72;22.42;53.94
1369.55;22.42;53.94
1369.49;22.42;53.94
1369.22;22.42;53.94
1369.13;22.42;53.94
1369.12;22.42;53.94
1368.96;22.42;53.94
1368.94;22.42;53.94
1368.82;22.42;53.94
1367.62;22.42;53.94
1366.85;22.42;53.95
1366.89;22.42;53.95
1366.89;22.42;53.95
1366.88;22.42;53.95
1366.93;22.42;53.95
1367.0;22.42;53.96
1367.05;22.42;53.96
1367.05;22.42;53.96
1367.16;22.42;53.96
1367.26;22.42;53.96
1367.4;22.42;53.97
1367.56;22.42;53.97
1367.57;22.42;53.97
1367.53;22.42;53.97
1367.78;22.42;53.97
1367.87;22.42;53.98
1367.91;22.42;53.98
1367.9;22.42;53.98
1367.99;22.42;53.98
1368.14;22.42;53.98
1368.23;22.42;53.98
1368.27;22.42;53.99
1367.71;22.43;53.99
1366.95;22.43;53.99
1366.7;22.43;53.99
1366.71;22.43;53.99
1366.67;22.43;53.99
1366.62;22.43;53.99
1366.54;22.43;53.99
1366.39;22.43;53.99
1365.98;22.43;53.99
1365.19;22.43;53.99
1365.22;22.43;53.99
1365.24;22.43;53.99
1365.21;22.44;53.99
1365.22;22.44;53.99
1364.89;22.44;53.99
1364.23;22.44;53.99
1363.73;22.44;53.99
1363.11;22.44;53.99
1362.49;22.44;53.99
1361.89;22.44;53.99
1361.32;22.44;53.99
1360.77;22.44;53.99
1360.26;22.45;53.98
1360.35;22.45;53.98
1360.37;22.45;53.98
1359.86;22.45;53.98
