Time stamp,Contador,DL_B0,DL_B1,DL_B2,DL_B3,DL_B4,DL_B5,DL_B6,DL_B7,DL_B8,DL_B9,DL_B10,DL_B11,DL_B12,DL_B13,DL_B14,DL_B15,DL_B16,DL_B17,DL_B18,DL_B19,DL_B20,DL_B21,DL_B22,DL_B23,DL_B24,DL_B25,DL_B26,DL_B27,DL_B28,DL_B29,DL_B30,DL_B31,DL_B32,DL_B33,DL_B34,DL_B35,UL_B0,UL_B1,UL_B2,UL_B3,UL_B4,UL_B5,UL_B6,UL_B7,UL_B8,UL_B9,UL_B10,UL_B11,UL_B12,UL_B13,UL_B14,UL_B15,UL_B16,UL_B17,UL_B18,UL_B19,UL_B20,UL_B21,UL_B22,UL_B23,UL_B24,UL_B25,UL_B26,UL_B27,UL_B28,UL_B29,UL_B30,UL_B31,UL_B32,UL_B33,UL_B34,UL_B35
Sun Jul 19 10:53:59 2026,81,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,4, 159, 4, 155, 0, 0, 0, 0, 0, 1, 0, 0, 39, 51, 39, 51, 0, 1, 5, 101, 0, 51, 8, 212, 20, 110, 254, 161, 12, 173, 253, 53, 151, 89, 2, 254
Sun Jul 19 10:54:00 2026,82,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,4, 159, 4, 157, 0, 0, 0, 0, 0, 1, 0, 0, 39, 52, 39, 52, 0, 1, 5, 100, 0, 78, 8, 212, 20, 110, 254, 161, 12, 161, 253, 53, 151, 90, 2, 254
Sun Jul 19 10:54:01 2026,83,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,4, 159, 4, 157, 0, 0, 0, 0, 0, 1, 0, 0, 39, 53, 39, 53, 0, 1, 5, 103, 0, 86, 8, 212, 20, 120, 254, 161, 12, 154, 253, 53, 151, 101, 2, 254
Sun Jul 19 10:54:02 2026,84,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,4, 158, 4, 157, 0, 0, 0, 0, 0, 1, 0, 0, 39, 54, 39, 54, 0, 1, 5, 99, 0, 56, 8, 212, 20, 120, 254, 161, 12, 162, 253, 53, 151, 121, 2, 254
Sun Jul 19 10:54:03 2026,85,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,4, 159, 4, 157, 0, 0, 0, 0, 0, 1, 0, 0, 39, 55, 39, 55, 0, 1, 5, 99, 0, 46, 8, 212, 20, 120, 254, 161, 12, 158, 253, 53, 151, 132, 2, 254
Sun Jul 19 10:54:05 2026,86,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,4, 158, 4, 157, 0, 0, 0, 0, 0, 1, 0, 0, 39, 56, 39, 56, 0, 1, 5, 104, 0, 51, 8, 212, 20, 120, 254, 161, 12, 144, 253, 53, 151, 109, 2, 254
Sun Jul 19 10:54:06 2026,87,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,4, 158, 4, 158, 0, 0, 0, 0, 0, 1, 0, 0, 39, 57, 39, 57, 0, 1, 5, 103, 0, 86, 8, 212, 20, 120, 254, 161, 12, 155, 253, 53, 151, 108, 2, 254
Sun Jul 19 10:54:07 2026,88,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,4, 158, 6, 157, 0, 0, 0, 0, 0, 1, 0, 0, 39, 58, 39, 58, 0, 1, 5, 101, 0, 84, 8, 212, 20, 120, 254, 161, 12, 164, 253, 53, 151, 98, 2, 254
Sun Jul 19 10:54:08 2026,89,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,6, 157, 6, 157, 0, 0, 0, 0, 0, 1, 0, 0, 39, 59, 39, 59, 0, 1, 5, 103, 0, 46, 8, 212, 20, 120, 254, 161, 12, 188, 253, 53, 151, 99, 2, 254
Sun Jul 19 10:54:10 2026,90,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,6, 159, 6, 156, 0, 0, 0, 0, 0, 1, 0, 0, 39, 60, 39, 60, 0, 1, 5, 100, 0, 46, 8, 212, 20, 120, 254, 161, 12, 193, 253, 53, 151, 96, 2, 254
