Time stamp,Contador,DL_B0,DL_B1,DL_B2,DL_B3,DL_B4,DL_B5,DL_B6,DL_B7,DL_B8,DL_B9,DL_B10,DL_B11,DL_B12,DL_B13,DL_B14,DL_B15,DL_B16,DL_B17,DL_B18,DL_B19,DL_B20,DL_B21,DL_B22,DL_B23,DL_B24,DL_B25,DL_B26,DL_B27,DL_B28,DL_B29,DL_B30,DL_B31,DL_B32,DL_B33,DL_B34,DL_B35,UL_B0,UL_B1,UL_B2,UL_B3,UL_B4,UL_B5,UL_B6,UL_B7,UL_B8,UL_B9,UL_B10,UL_B11,UL_B12,UL_B13,UL_B14,UL_B15,UL_B16,UL_B17,UL_B18,UL_B19,UL_B20,UL_B21,UL_B22,UL_B23,UL_B24,UL_B25,UL_B26,UL_B27,UL_B28,UL_B29,UL_B30,UL_B31,UL_B32,UL_B33,UL_B34,UL_B35
Sun Jul 19 10:29:40 2026,1,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,6, 159, 8, 158, 0, 0, 0, 0, 0, 1, 0, 0, 38, 127, 38, 127, 0, 1, 5, 93, 0, 57, 8, 192, 21, 24, 254, 161, 13, 18, 253, 53, 151, 166, 3, 9
Sun Jul 19 10:29:42 2026,2,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,8, 157, 6, 158, 0, 0, 0, 0, 0, 1, 0, 0, 38, 128, 38, 128, 0, 1, 5, 90, 0, 78, 8, 192, 21, 24, 254, 161, 13, 17, 253, 53, 151, 166, 3, 10
Sun Jul 19 10:29:43 2026,3,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,6, 157, 8, 158, 0, 0, 0, 0, 0, 1, 0, 0, 38, 129, 38, 129, 0, 1, 5, 103, 0, 86, 8, 192, 21, 24, 254, 161, 13, 16, 253, 53, 151, 167, 3, 10
Sun Jul 19 10:29:44 2026,4,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,6, 158, 8, 127, 0, 0, 0, 0, 0, 1, 0, 0, 38, 130, 38, 130, 0, 1, 5, 92, 0, 78, 8, 192, 21, 24, 254, 161, 13, 16, 253, 53, 151, 165, 3, 10
Sun Jul 19 10:29:46 2026,5,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,6, 159, 8, 158, 0, 0, 0, 0, 0, 1, 0, 0, 38, 131, 38, 131, 0, 1, 5, 93, 0, 47, 8, 192, 21, 24, 254, 161, 13, 16, 253, 53, 151, 163, 3, 10
Sun Jul 19 10:29:47 2026,6,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,6, 158, 8, 157, 0, 0, 0, 0, 0, 1, 0, 0, 38, 132, 38, 132, 0, 1, 5, 95, 0, 51, 8, 192, 21, 24, 254, 161, 13, 18, 253, 53, 151, 161, 3, 10
Sun Jul 19 10:29:48 2026,7,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,6, 158, 6, 159, 0, 0, 0, 0, 0, 1, 0, 0, 38, 133, 38, 133, 0, 1, 5, 85, 0, 82, 8, 192, 21, 24, 254, 161, 13, 16, 253, 53, 151, 159, 3, 10
Sun Jul 19 10:29:50 2026,8,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,6, 158, 6, 157, 0, 0, 0, 0, 0, 1, 0, 0, 38, 134, 38, 134, 0, 1, 5, 100, 0, 83, 8, 192, 21, 24, 254, 161, 13, 15, 253, 53, 151, 159, 3, 11
Sun Jul 19 10:29:51 2026,9,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,4, 158, 4, 158, 0, 0, 0, 0, 0, 1, 0, 0, 38, 135, 38, 135, 0, 1, 5, 97, 0, 84, 8, 192, 21, 24, 254, 161, 13, 13, 253, 53, 151, 157, 3, 11
Sun Jul 19 10:29:52 2026,10,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,4, 158, 4, 157, 0, 0, 0, 0, 0, 1, 0, 0, 38, 136, 38, 136, 0, 1, 5, 95, 0, 47, 8, 192, 21, 24, 254, 161, 13, 11, 253, 53, 151, 157, 3, 11
