Time stamp,Contador,DL_B0,DL_B1,DL_B2,DL_B3,DL_B4,DL_B5,DL_B6,DL_B7,DL_B8,DL_B9,DL_B10,DL_B11,DL_B12,DL_B13,DL_B14,DL_B15,DL_B16,DL_B17,DL_B18,DL_B19,DL_B20,DL_B21,DL_B22,DL_B23,DL_B24,DL_B25,DL_B26,DL_B27,DL_B28,DL_B29,DL_B30,DL_B31,DL_B32,DL_B33,DL_B34,DL_B35,UL_B0,UL_B1,UL_B2,UL_B3,UL_B4,UL_B5,UL_B6,UL_B7,UL_B8,UL_B9,UL_B10,UL_B11,UL_B12,UL_B13,UL_B14,UL_B15,UL_B16,UL_B17,UL_B18,UL_B19,UL_B20,UL_B21,UL_B22,UL_B23,UL_B24,UL_B25,UL_B26,UL_B27,UL_B28,UL_B29,UL_B30,UL_B31,UL_B32,UL_B33,UL_B34,UL_B35
Sun Jul 19 19:55:42 2026,1,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Sun Jul 19 19:55:43 2026,2,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,242, 159, 244, 155, 0, 0, 0, 0, 0, 1, 0, 0, 40, 214, 40, 214, 0, 1, 0, 25, 0, 102, 9, 86, 21, 34, 254, 161, 12, 118, 253, 53, 151, 132, 3, 19
Sun Jul 19 19:55:45 2026,3,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,244, 157, 246, 158, 0, 0, 0, 0, 0, 1, 0, 0, 40, 215, 40, 215, 0, 1, 0, 18, 0, 0, 9, 86, 21, 34, 254, 161, 12, 119, 253, 53, 151, 130, 3, 20
Sun Jul 19 19:55:46 2026,4,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,248, 159, 248, 158, 0, 0, 0, 0, 0, 1, 0, 0, 40, 216, 40, 216, 0, 1, 0, 27, 0, 133, 9, 86, 21, 34, 254, 161, 12, 119, 253, 53, 151, 129, 3, 20
Sun Jul 19 19:55:48 2026,5,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,248, 156, 250, 158, 0, 0, 0, 0, 0, 1, 0, 0, 40, 217, 40, 217, 0, 1, 0, 18, 0, 17, 9, 86, 21, 24, 254, 161, 12, 130, 253, 53, 151, 140, 3, 19
Sun Jul 19 19:55:50 2026,6,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,238, 158, 242, 156, 0, 0, 0, 0, 0, 1, 0, 0, 40, 218, 40, 218, 0, 1, 0, 18, 0, 16, 9, 86, 21, 24, 254, 161, 12, 125, 253, 53, 151, 133, 3, 19
Sun Jul 19 19:55:51 2026,7,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,236, 157, 236, 158, 0, 0, 0, 0, 0, 1, 0, 0, 40, 219, 40, 219, 0, 1, 0, 18, 0, 0, 9, 86, 21, 24, 254, 161, 12, 128, 253, 53, 151, 136, 3, 18
Sun Jul 19 19:55:53 2026,8,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,240, 156, 246, 157, 0, 0, 0, 0, 0, 1, 0, 0, 40, 220, 40, 220, 0, 1, 0, 24, 0, 83, 9, 86, 21, 34, 254, 161, 12, 126, 253, 53, 151, 136, 3, 18
Sun Jul 19 19:55:55 2026,9,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,234, 154, 232, 156, 0, 0, 0, 0, 0, 1, 0, 0, 40, 221, 40, 221, 0, 1, 0, 18, 0, 103, 9, 86, 21, 34, 254, 161, 12, 123, 253, 53, 151, 133, 3, 18
Sun Jul 19 19:55:56 2026,10,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,240, 157, 240, 157, 0, 0, 0, 0, 0, 1, 0, 0, 40, 222, 40, 222, 0, 1, 0, 17, 0, 30, 9, 86, 21, 34, 254, 161, 12, 114, 253, 53, 151, 122, 3, 19
