Time stamp,Contador,DL_B0,DL_B1,DL_B2,DL_B3,DL_B4,DL_B5,DL_B6,DL_B7,DL_B8,DL_B9,DL_B10,DL_B11,DL_B12,DL_B13,DL_B14,DL_B15,DL_B16,DL_B17,DL_B18,DL_B19,DL_B20,DL_B21,DL_B22,DL_B23,DL_B24,DL_B25,DL_B26,DL_B27,DL_B28,DL_B29,DL_B30,DL_B31,DL_B32,DL_B33,DL_B34,DL_B35,UL_B0,UL_B1,UL_B2,UL_B3,UL_B4,UL_B5,UL_B6,UL_B7,UL_B8,UL_B9,UL_B10,UL_B11,UL_B12,UL_B13,UL_B14,UL_B15,UL_B16,UL_B17,UL_B18,UL_B19,UL_B20,UL_B21,UL_B22,UL_B23,UL_B24,UL_B25,UL_B26,UL_B27,UL_B28,UL_B29,UL_B30,UL_B31,UL_B32,UL_B33,UL_B34,UL_B35
Sun Jul 19 07:54:12 2026,1,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,246, 158, 250, 156, 0, 0, 0, 0, 0, 1, 0, 0, 26, 106, 26, 106, 1, 1, 1, 176, 0, 37, 8, 122, 20, 200, 254, 161, 13, 45, 253, 53, 151, 168, 3, 9
Sun Jul 19 07:54:13 2026,2,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,254, 157, 254, 159, 0, 0, 0, 0, 0, 1, 0, 0, 26, 107, 26, 107, 1, 1, 1, 193, 0, 42, 8, 122, 20, 210, 254, 161, 13, 45, 253, 53, 151, 169, 3, 9
Sun Jul 19 07:54:15 2026,3,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0, 156, 0, 159, 0, 0, 0, 0, 0, 1, 0, 0, 26, 108, 26, 108, 1, 1, 1, 191, 0, 37, 8, 122, 20, 210, 254, 161, 13, 44, 253, 53, 151, 169, 3, 9
Sun Jul 19 07:54:16 2026,4,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 4, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,254, 157, 0, 158, 0, 0, 0, 0, 0, 1, 0, 0, 26, 109, 26, 109, 1, 1, 1, 196, 0, 34, 8, 122, 20, 210, 254, 161, 13, 43, 253, 53, 151, 169, 3, 9
Sun Jul 19 07:54:17 2026,5,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0, 157, 254, 156, 0, 0, 0, 0, 0, 1, 0, 0, 26, 110, 26, 110, 1, 1, 1, 204, 0, 54, 8, 122, 20, 210, 254, 161, 13, 42, 253, 53, 151, 168, 3, 9
Sun Jul 19 07:54:19 2026,6,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 6, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,250, 159, 248, 158, 0, 0, 0, 0, 0, 1, 0, 0, 26, 111, 26, 111, 1, 1, 1, 135, 0, 52, 8, 122, 20, 210, 254, 161, 13, 41, 253, 53, 151, 167, 3, 9
Sun Jul 19 07:54:20 2026,7,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,240, 158, 240, 157, 0, 0, 0, 0, 0, 1, 0, 0, 26, 112, 26, 112, 1, 1, 1, 21, 0, 72, 8, 122, 20, 210, 254, 161, 13, 41, 253, 53, 151, 168, 3, 9
Sun Jul 19 07:54:21 2026,8,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 8, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,250, 157, 252, 159, 0, 0, 0, 0, 0, 1, 0, 0, 26, 113, 26, 113, 1, 1, 1, 15, 0, 73, 8, 122, 20, 210, 254, 161, 13, 41, 253, 53, 151, 167, 3, 9
Sun Jul 19 07:54:23 2026,9,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,246, 157, 246, 157, 0, 0, 0, 0, 0, 1, 0, 0, 26, 114, 26, 114, 1, 1, 1, 12, 0, 71, 8, 122, 20, 210, 254, 161, 13, 42, 253, 53, 151, 171, 3, 9
Sun Jul 19 07:54:24 2026,10,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 10, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,244, 156, 244, 157, 0, 0, 0, 0, 0, 1, 0, 0, 26, 115, 26, 115, 1, 1, 1, 14, 0, 74, 8, 122, 20, 210, 254, 161, 13, 41, 253, 53, 151, 169, 3, 9
