Time stamp,Contador,DL_B0,DL_B1,DL_B2,DL_B3,DL_B4,DL_B5,DL_B6,DL_B7,DL_B8,DL_B9,DL_B10,DL_B11,DL_B12,DL_B13,DL_B14,DL_B15,DL_B16,DL_B17,DL_B18,DL_B19,DL_B20,DL_B21,DL_B22,DL_B23,DL_B24,DL_B25,DL_B26,DL_B27,DL_B28,DL_B29,DL_B30,DL_B31,DL_B32,DL_B33,DL_B34,DL_B35,UL_B0,UL_B1,UL_B2,UL_B3,UL_B4,UL_B5,UL_B6,UL_B7,UL_B8,UL_B9,UL_B10,UL_B11,UL_B12,UL_B13,UL_B14,UL_B15,UL_B16,UL_B17,UL_B18,UL_B19,UL_B20,UL_B21,UL_B22,UL_B23,UL_B24,UL_B25,UL_B26,UL_B27,UL_B28,UL_B29,UL_B30,UL_B31,UL_B32,UL_B33,UL_B34,UL_B35
Sat Jul 18 22:37:33 2026,1,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,38, 167, 36, 158, 0, 0, 0, 0, 0, 1, 0, 0, 2, 28, 2, 28, 0, 1, 5, 19, 0, 82, 9, 56, 21, 164, 254, 161, 13, 54, 253, 53, 151, 170, 3, 15
Sat Jul 18 22:37:34 2026,2,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,38, 157, 38, 158, 0, 0, 0, 0, 0, 1, 0, 0, 2, 29, 2, 29, 0, 1, 5, 67, 0, 66, 9, 56, 21, 164, 254, 161, 13, 54, 253, 53, 151, 168, 3, 15
Sat Jul 18 22:37:36 2026,3,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,38, 157, 36, 158, 0, 0, 0, 0, 0, 1, 0, 0, 2, 30, 2, 30, 0, 1, 5, 68, 0, 52, 9, 46, 21, 164, 254, 161, 13, 58, 253, 53, 151, 168, 3, 15
Sat Jul 18 22:37:37 2026,4,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,40, 157, 36, 159, 0, 0, 0, 0, 0, 1, 0, 0, 2, 31, 2, 31, 0, 1, 5, 32, 0, 81, 9, 56, 21, 164, 254, 161, 13, 54, 253, 53, 151, 166, 3, 16
Sat Jul 18 22:37:38 2026,5,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,40, 158, 36, 158, 0, 0, 0, 0, 0, 1, 0, 0, 2, 32, 2, 32, 0, 1, 5, 28, 0, 51, 9, 56, 21, 164, 254, 161, 13, 40, 253, 53, 151, 160, 3, 17
Sat Jul 18 22:37:40 2026,6,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,38, 158, 36, 160, 0, 0, 0, 0, 0, 1, 0, 0, 2, 33, 2, 33, 0, 1, 5, 48, 0, 65, 9, 56, 21, 164, 254, 161, 13, 32, 253, 53, 151, 158, 3, 17
Sat Jul 18 22:37:41 2026,7,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,40, 158, 36, 157, 0, 0, 0, 0, 0, 1, 0, 0, 2, 34, 2, 34, 0, 1, 5, 57, 0, 80, 9, 56, 21, 164, 254, 161, 13, 30, 253, 53, 151, 158, 3, 17
Sat Jul 18 22:37:43 2026,8,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,38, 158, 36, 159, 0, 0, 0, 0, 0, 1, 0, 0, 2, 35, 2, 35, 0, 1, 5, 50, 0, 66, 9, 56, 21, 164, 254, 161, 13, 16, 253, 53, 151, 153, 3, 18
Sat Jul 18 22:37:44 2026,9,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,38, 158, 36, 158, 0, 0, 0, 0, 0, 1, 0, 0, 2, 36, 2, 36, 1, 1, 5, 59, 0, 54, 9, 46, 21, 164, 254, 161, 13, 18, 253, 53, 151, 153, 3, 18
Sat Jul 18 22:37:47 2026,10,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 10, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
