Time stamp,Contador,DL_B0,DL_B1,DL_B2,DL_B3,DL_B4,DL_B5,DL_B6,DL_B7,DL_B8,DL_B9,DL_B10,DL_B11,DL_B12,DL_B13,DL_B14,DL_B15,DL_B16,DL_B17,DL_B18,DL_B19,DL_B20,DL_B21,DL_B22,DL_B23,DL_B24,DL_B25,DL_B26,DL_B27,DL_B28,DL_B29,DL_B30,DL_B31,DL_B32,DL_B33,DL_B34,DL_B35,UL_B0,UL_B1,UL_B2,UL_B3,UL_B4,UL_B5,UL_B6,UL_B7,UL_B8,UL_B9,UL_B10,UL_B11,UL_B12,UL_B13,UL_B14,UL_B15,UL_B16,UL_B17,UL_B18,UL_B19,UL_B20,UL_B21,UL_B22,UL_B23,UL_B24,UL_B25,UL_B26,UL_B27,UL_B28,UL_B29,UL_B30,UL_B31,UL_B32,UL_B33,UL_B34,UL_B35
Sun Jul 19 07:51:55 2026,1,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,248, 157, 248, 159, 0, 0, 0, 0, 0, 1, 0, 0, 26, 6, 26, 6, 1, 1, 1, 105, 0, 44, 8, 122, 20, 240, 254, 161, 13, 21, 253, 53, 151, 137, 3, 18
Sun Jul 19 07:51:56 2026,2,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,254, 157, 0, 158, 0, 0, 0, 0, 0, 1, 0, 0, 26, 7, 26, 7, 1, 1, 1, 133, 0, 45, 8, 122, 20, 240, 254, 161, 13, 21, 253, 53, 151, 138, 3, 18
Sun Jul 19 07:51:58 2026,3,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0, 157, 254, 158, 0, 0, 0, 0, 0, 1, 0, 0, 26, 8, 26, 8, 1, 1, 1, 124, 0, 37, 8, 122, 20, 240, 254, 161, 13, 22, 253, 53, 151, 138, 3, 18
Sun Jul 19 07:51:59 2026,4,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 4, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0, 158, 0, 158, 0, 0, 0, 0, 0, 1, 0, 0, 26, 9, 26, 9, 1, 1, 1, 126, 0, 34, 8, 122, 20, 240, 254, 161, 13, 20, 253, 53, 151, 135, 3, 17
Sun Jul 19 07:52:00 2026,5,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0, 156, 0, 158, 0, 0, 0, 0, 0, 1, 0, 0, 26, 10, 26, 10, 1, 1, 1, 126, 0, 66, 8, 122, 20, 240, 254, 161, 13, 21, 253, 53, 151, 134, 3, 17
Sun Jul 19 07:52:01 2026,6,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 6, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0, 157, 0, 159, 0, 0, 0, 0, 0, 1, 0, 0, 26, 11, 26, 11, 1, 1, 1, 122, 0, 75, 8, 122, 20, 240, 254, 161, 13, 21, 253, 53, 151, 134, 3, 17
Sun Jul 19 07:52:03 2026,7,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,254, 157, 0, 159, 0, 0, 0, 0, 0, 1, 0, 0, 26, 12, 26, 12, 1, 1, 1, 123, 0, 45, 8, 122, 20, 240, 254, 161, 13, 20, 253, 53, 151, 130, 3, 16
Sun Jul 19 07:52:04 2026,8,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 8, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0, 159, 0, 159, 0, 0, 0, 0, 0, 1, 0, 0, 26, 13, 26, 13, 1, 1, 1, 130, 0, 74, 8, 122, 20, 230, 254, 161, 13, 20, 253, 53, 151, 129, 3, 16
Sun Jul 19 07:52:05 2026,9,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,2, 159, 2, 159, 0, 0, 0, 0, 0, 1, 0, 0, 26, 14, 26, 14, 1, 1, 1, 131, 0, 47, 8, 122, 20, 230, 254, 161, 13, 22, 253, 53, 151, 131, 3, 16
Sun Jul 19 07:52:07 2026,10,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 10, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,252, 158, 252, 157, 0, 0, 0, 0, 0, 1, 0, 0, 26, 15, 26, 15, 1, 1, 1, 124, 0, 72, 8, 132, 20, 230, 254, 161, 13, 16, 253, 53, 151, 121, 3, 15
