Time stamp,Contador,DL_B0,DL_B1,DL_B2,DL_B3,DL_B4,DL_B5,DL_B6,DL_B7,DL_B8,DL_B9,DL_B10,DL_B11,DL_B12,DL_B13,DL_B14,DL_B15,DL_B16,DL_B17,DL_B18,DL_B19,DL_B20,DL_B21,DL_B22,DL_B23,DL_B24,DL_B25,DL_B26,DL_B27,DL_B28,DL_B29,DL_B30,DL_B31,DL_B32,DL_B33,DL_B34,DL_B35,UL_B0,UL_B1,UL_B2,UL_B3,UL_B4,UL_B5,UL_B6,UL_B7,UL_B8,UL_B9,UL_B10,UL_B11,UL_B12,UL_B13,UL_B14,UL_B15,UL_B16,UL_B17,UL_B18,UL_B19,UL_B20,UL_B21,UL_B22,UL_B23,UL_B24,UL_B25,UL_B26,UL_B27,UL_B28,UL_B29,UL_B30,UL_B31,UL_B23,UL_B33,UL_B34,UL_B35
Sat Jul 18 21:58:37 2026,1,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,60, 158, 64, 157, 0, 0, 0, 0, 0, 1, 0, 0, 0, 101, 0, 101, 0, 1, 5, 29, 0, 56, 9, 66, 21, 254, 254, 161, 13, 11, 253, 53, 151, 160, 2, 252
Sat Jul 18 21:58:38 2026,2,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,60, 160, 64, 159, 0, 0, 0, 0, 0, 1, 0, 0, 0, 102, 0, 102, 0, 1, 5, 34, 0, 97, 9, 66, 22, 8, 254, 161, 13, 10, 253, 53, 151, 164, 2, 251
Sat Jul 18 21:58:40 2026,3,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,60, 158, 64, 157, 0, 0, 0, 0, 0, 1, 0, 0, 0, 103, 0, 103, 0, 1, 5, 22, 0, 62, 9, 66, 22, 8, 254, 161, 13, 9, 253, 53, 151, 166, 2, 251
Sat Jul 18 21:58:41 2026,4,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,60, 157, 64, 158, 0, 0, 0, 0, 0, 1, 0, 0, 0, 104, 0, 104, 0, 1, 5, 20, 0, 54, 9, 66, 22, 8, 254, 161, 13, 7, 253, 53, 151, 166, 2, 251
Sat Jul 18 21:58:42 2026,5,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,60, 158, 64, 158, 0, 0, 0, 0, 0, 1, 0, 0, 0, 105, 0, 105, 0, 1, 5, 35, 0, 43, 9, 66, 21, 254, 254, 161, 13, 7, 253, 53, 151, 168, 2, 251
Sat Jul 18 21:58:43 2026,6,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,60, 159, 64, 159, 0, 0, 0, 0, 0, 1, 0, 0, 0, 106, 0, 106, 0, 1, 5, 33, 0, 54, 9, 66, 21, 254, 254, 161, 13, 7, 253, 53, 151, 167, 2, 250
Sat Jul 18 21:58:45 2026,7,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,60, 158, 64, 157, 0, 0, 0, 0, 0, 1, 0, 0, 0, 107, 0, 107, 0, 1, 5, 35, 0, 89, 9, 66, 21, 254, 254, 161, 13, 7, 253, 53, 151, 166, 2, 250
Sat Jul 18 21:58:46 2026,8,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,60, 157, 64, 160, 0, 0, 0, 0, 0, 1, 0, 0, 0, 108, 0, 108, 0, 1, 5, 25, 0, 95, 9, 66, 21, 254, 254, 161, 13, 6, 253, 53, 151, 166, 2, 250
Sat Jul 18 21:58:47 2026,9,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,60, 158, 64, 158, 0, 0, 0, 0, 0, 1, 0, 0, 0, 109, 0, 109, 0, 1, 5, 27, 0, 57, 9, 66, 21, 254, 254, 161, 13, 6, 253, 53, 151, 166, 2, 250
Sat Jul 18 21:58:49 2026,10,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,60, 157, 64, 158, 0, 0, 0, 0, 0, 1, 0, 0, 0, 110, 0, 110, 0, 1, 5, 33, 0, 46, 9, 66, 21, 254, 254, 161, 13, 5, 253, 53, 151, 167, 2, 251
